index,burst,B,S,C,Y
0,0,-0.000172271,0,-5.77356e-16,-0.0796816
0,0,0.000388735,0,-1.08577e-15,0.0267094
0,0,0.000956373,0,-1.52525e-15,0.0308561
0,0,0.00286058,0,-1.92165e-15,-0.0479937
0,0,0.00351982,0,-2.27496e-15,-0.0220762
0,0,0.00263016,0,-2.61103e-15,0.0506718
0,0,0.00319426,0,-2.93848e-15,-0.0213793
0,0,0.00375962,0,-3.24871e-15,-0.0556737
0,0,0.00255755,0,-3.54169e-15,0.00444396
0,0,0.00413028,0,-3.81744e-15,0.0690099
0,0,0.0038868,0,-4.05011e-15,-0.0426111
0,0,0.00514724,0,-4.30001e-15,-0.0285599
0,0,0.00319246,0,-4.55853e-15,0.0640688
0,0,0.00155511,0,-4.82566e-15,0.0230477
0,0,0.000583665,0,-5.05833e-15,-0.0448943
0,0,0.000162848,0,-5.26514e-15,-0.0101058
0,0,0.00114681,0,-5.47196e-15,0.069346
0,0,7.43572e-06,0,-5.68739e-15,0.0089572
0,0,-0.00158775,0,-5.90282e-15,-0.019207
0,0,-0.00244177,0,-6.12687e-15,-0.0126149
0,0,-0.0028987,0,-6.3423e-15,0.0221187
0,0,-0.0029133,0,-6.56635e-15,-0.0148288
0,0,-0.00238589,0,-6.73008e-15,-0.0233183
0,0,-0.00149581,0,-6.87657e-15,0.00655504
0,0,-0.00143776,0,-7.02306e-15,0.0149134
0,0,-0.00134512,0,-7.17818e-15,0.0052656
0,0,-0.000962022,0,-7.32467e-15,0.0213963
0,0,-0.0014262,0,-7.47978e-15,0.00707583
0,0,0.000741061,0,-7.62627e-15,-0.0142365
0,0,0.00247406,0,-7.78138e-15,-0.00716549
0,0,0.0037576,0,-7.93649e-15,-0.00402657
0,0,0.00365994,0,-8.08299e-15,0.0141844
0,0,0.00406586,0,-8.2381e-15,-0.0126078
0,0,0.00417259,0,-8.39321e-15,0.0142817
0,0,0.00542312,0,-8.54832e-15,0.01872
0,0,0.00465253,0,-8.70343e-15,0.0354708
0,0,0.0047478,0,-8.78099e-15,-0.0244868
